RMSE_pos,RMSE_vel,Features
1.432782700736250E-02,2.043914731950980E-01,1.00000E+00
1.432782699955280E-02,2.043914732784260E-01,1.00000E+00
1.432782699890310E-02,2.043914732265680E-01,1.00000E+00
1.432782699317580E-02,2.043914732408050E-01,1.00000E+00
1.432782699110240E-02,2.043914732440380E-01,1.00000E+00
1.432782699092200E-02,2.043914732449240E-01,1.00000E+00
1.432782698995240E-02,2.043914732479460E-01,1.00000E+00
1.432782698927060E-02,2.043914732505070E-01,1.00000E+00
1.432782698902220E-02,2.043914732478050E-01,1.00000E+00
1.432782698848360E-02,2.043914732465050E-01,1.00000E+00
1.432782699061400E-02,2.043914732807470E-01,2.00000E+00
1.432782699774330E-02,2.043914732844400E-01,2.00000E+00
1.432782700137180E-02,2.043914732034450E-01,2.00000E+00
1.432782699399300E-02,2.043914732432980E-01,2.00000E+00
1.432782699184130E-02,2.043914732487590E-01,2.00000E+00
1.432782699034090E-02,2.043914732482840E-01,2.00000E+00
1.432782698980560E-02,2.043914732475290E-01,2.00000E+00
1.432782698938270E-02,2.043914732493820E-01,2.00000E+00
1.432782698897290E-02,2.043914732438680E-01,2.00000E+00
1.432782698861240E-02,2.043914732492390E-01,2.00000E+00
1.432782699031060E-02,2.043914732796060E-01,3.00000E+00
1.432782699123500E-02,2.043914732866740E-01,3.00000E+00
1.432782699215360E-02,2.043914733004120E-01,3.00000E+00
1.432782699209790E-02,2.043914732980970E-01,3.00000E+00
1.432782699142660E-02,2.043914733238810E-01,3.00000E+00
1.432782698939620E-02,2.043914733401700E-01,3.00000E+00
1.432782698061030E-02,2.043914734381990E-01,3.00000E+00
1.432782701558610E-02,2.043914730909460E-01,3.00000E+00
1.432782701038520E-02,2.043914731517100E-01,3.00000E+00
1.432782700673300E-02,2.043914731918270E-01,3.00000E+00
1.432782698823210E-02,2.043914732801940E-01,4.00000E+00
1.432782699086670E-02,2.043914732864740E-01,4.00000E+00
1.432782699164340E-02,2.043914732996180E-01,4.00000E+00
1.432782699173830E-02,2.043914733058300E-01,4.00000E+00
1.432782699140660E-02,2.043914733212290E-01,4.00000E+00
1.432782698423050E-02,2.043914734032720E-01,4.00000E+00
1.432782698424300E-02,2.043914734051150E-01,4.00000E+00
1.432782702586310E-02,2.043914729911930E-01,4.00000E+00
1.432782700931730E-02,2.043914731653190E-01,4.00000E+00
1.432782700824030E-02,2.043914731849650E-01,4.00000E+00
1.432782700727120E-02,2.043914731948140E-01,5.00000E+00
1.432782700745310E-02,2.043914731925920E-01,5.00000E+00
1.432782700718650E-02,2.043914731927700E-01,5.00000E+00
1.432782700772260E-02,2.043914732005260E-01,5.00000E+00
1.432782700731340E-02,2.043914731969890E-01,5.00000E+00
1.432782701737130E-02,2.043914731203370E-01,5.00000E+00
1.432782700855590E-02,2.043914731997650E-01,5.00000E+00
1.432782700753850E-02,2.043914732027030E-01,5.00000E+00
1.432782700241790E-02,2.043914732780290E-01,5.00000E+00
1.432782700276180E-02,2.043914732767570E-01,5.00000E+00
1.432782700735970E-02,2.043914731928260E-01,6.00000E+00
1.432782700669620E-02,2.043914732015540E-01,6.00000E+00
1.432782699861700E-02,2.043914733224660E-01,6.00000E+00
1.432782700169410E-02,2.043914732883480E-01,6.00000E+00
1.432782700357410E-02,2.043914732737270E-01,6.00000E+00
1.432782700304210E-02,2.043914732725700E-01,6.00000E+00
1.432782700380690E-02,2.043914732717180E-01,6.00000E+00
1.432782700379120E-02,2.043914732632090E-01,6.00000E+00
1.432782700371840E-02,2.043914732631530E-01,6.00000E+00
1.432782700305720E-02,2.043914732688040E-01,6.00000E+00
1.432782698972180E-02,2.043914732787230E-01,7.00000E+00
1.432782699159890E-02,2.043914732866400E-01,7.00000E+00
1.432782699143820E-02,2.043914733176610E-01,7.00000E+00
1.432782700714140E-02,2.043914731940550E-01,7.00000E+00
1.432782700388660E-02,2.043914732707260E-01,7.00000E+00
1.432782700388980E-02,2.043914732656440E-01,7.00000E+00
1.432782700193420E-02,2.043914732744980E-01,7.00000E+00
1.432782700108220E-02,2.043914732759690E-01,7.00000E+00
1.432782700016840E-02,2.043914732760290E-01,7.00000E+00
1.432782699828670E-02,2.043914732870690E-01,7.00000E+00
1.432782698191490E-02,2.043914732638890E-01,8.00000E+00
1.432782699230110E-02,2.043914732996630E-01,8.00000E+00
1.432782699132820E-02,2.043914733072790E-01,8.00000E+00
1.432782698692360E-02,2.043914733828940E-01,8.00000E+00
